,TEAM_A,TEAM_B,A_SCORE,B_SCORE,AQ1,BQ1,AQ2,BQ2,AQ3,BQ3,AQ4,BQ4,A_OT,B_OT
Round 30,,,,,,,,,,,,,,
18.03. 21:30,Paris,Olimpia Milano,-,-,,,,,,,,,,
20.03. 20:00,Monaco,Fenerbahce,-,-,,,,,,,,,,
20.03. 20:00,Olympiacos,Crvena zvezda,-,-,,,,,,,,,,
20.03. 21:15,Maccabi Tel Aviv,Virtus Bologna,-,-,,,,,,,,,,
20.03. 21:30,Baskonia,Bayern,-,-,,,,,,,,,,
20.03. 21:45,Real Madrid,Lyon-Villeurbanne,-,-,,,,,,,,,,
21.03. 21:15,Panathinaikos,Alba Berlin,-,-,,,,,,,,,,
21.03. 21:30,Barcelona,Zalgiris Kaunas,-,-,,,,,,,,,,
21.03. 21:45,Partizan,Anadolu Efes,-,-,,,,,,,,,,
Round 31,,,,,,,,,,,,,,
25.03. 19:45,Fenerbahce,Paris,-,-,,,,,,,,,,
25.03. 20:00,Monaco,Zalgiris Kaunas,-,-,,,,,,,,,,
25.03. 21:30,Barcelona,Bayern,-,-,,,,,,,,,,
25.03. 21:45,Lyon-Villeurbanne,Olympiacos,-,-,,,,,,,,,,
25.03. 21:45,Partizan,Alba Berlin,-,-,,,,,,,,,,
25.03. 21:45,Real Madrid,Olimpia Milano,-,-,,,,,,,,,,
26.03. 19:30,Anadolu Efes,Baskonia,-,-,,,,,,,,,,
26.03. 21:00,Crvena zvezda,Virtus Bologna,-,-,,,,,,,,,,
26.03. 21:05,Maccabi Tel Aviv,Panathinaikos,-,-,,,,,,,,,,
Round 32,,,,,,,,,,,,,,
27.03. 21:00,Lyon-Villeurbanne,Zalgiris Kaunas,-,-,,,,,,,,,,
27.03. 21:15,Olympiacos,Monaco,-,-,,,,,,,,,,
27.03. 21:30,Bayern,Partizan,-,-,,,,,,,,,,
27.03. 21:30,Olimpia Milano,Barcelona,-,-,,,,,,,,,,
28.03. 19:30,Anadolu Efes,Maccabi Tel Aviv,-,-,,,,,,,,,,
28.03. 19:45,Fenerbahce,Baskonia,-,-,,,,,,,,,,
28.03. 21:00,Alba Berlin,Virtus Bologna,-,-,,,,,,,,,,
28.03. 21:00,Crvena zvezda,Real Madrid,-,-,,,,,,,,,,
28.03. 21:15,Panathinaikos,Paris,-,-,,,,,,,,,,
Round 33,,,,,,,,,,,,,,
02.04. 20:45,Fenerbahce,Barcelona,-,-,,,,,,,,,,
03.04. 20:00,Monaco,Panathinaikos,-,-,,,,,,,,,,
03.04. 20:00,Zalgiris Kaunas,Partizan,-,-,,,,,,,,,,
03.04. 21:05,Maccabi Tel Aviv,Bayern,-,-,,,,,,,,,,
03.04. 22:00,Real Madrid,Paris,-,-,,,,,,,,,,
04.04. 21:00,Alba Berlin,Olympiacos,-,-,,,,,,,,,,
04.04. 21:00,Crvena zvezda,Anadolu Efes,-,-,,,,,,,,,,
04.04. 21:30,Baskonia,Lyon-Villeurbanne,-,-,,,,,,,,,,
04.04. 21:30,Virtus Bologna,Olimpia Milano,-,-,,,,,,,,,,
Round 34,,,,,,,,,,,,,,
10.04. 21:00,Bayern,Fenerbahce,-,-,,,,,,,,,,
10.04. 21:00,Lyon-Villeurbanne,Monaco,-,-,,,,,,,,,,
10.04. 21:15,Olympiacos,Maccabi Tel Aviv,-,-,,,,,,,,,,
10.04. 21:30,Olimpia Milano,Baskonia,-,-,,,,,,,,,,
10.04. 21:30,Partizan,Real Madrid,-,-,,,,,,,,,,
10.04. 21:45,Paris,Alba Berlin,-,-,,,,,,,,,,
11.04. 20:30,Anadolu Efes,Zalgiris Kaunas,-,-,,,,,,,,,,
11.04. 21:15,Panathinaikos,Crvena zvezda,-,-,,,,,,,,,,
11.04. 21:30,Barcelona,Virtus Bologna,-,-,,,,,,,,,,
Round 29,,,,,,,,,,,,,,
14.03. 21:45,Barcelona,Partizan,87,80,25,32,29,9,19,26,14,13,,
14.03. 21:30,Bayern,Anadolu Efes,92,97,17,26,20,25,30,14,25,32,,
14.03. 21:15,Olympiacos,Panathinaikos,76,74,20,9,18,18,24,23,14,24,,
13.03. 21:45,Virtus Bologna,Real Madrid,67,80,17,30,16,20,21,18,13,12,,
13.03. 21:05,Maccabi Tel Aviv,Monaco,91,88,21,18,18,24,20,21,32,25,,
13.03. 21:00,Alba Berlin,Baskonia,97,90,26,24,24,22,25,23,22,21,,
13.03. 20:00,Crvena zvezda,Olimpia Milano,80,82,24,23,21,25,19,20,16,14,,
13.03. 20:00,Zalgiris Kaunas,Paris,83,81,14,22,17,25,29,14,23,20,,
13.03. 19:45,Fenerbahce,Lyon-Villeurbanne,92,82,30,23,19,21,21,16,22,22,,
Round 28,,,,,,,,,,,,,,
07.03. 21:30,Alba Berlin,Barcelona,85,99,20,18,19,23,25,25,21,33,,
07.03. 21:15,Olympiacos,Partizan,82,70,27,18,19,14,18,19,18,19,,
07.03. 21:00,Lyon-Villeurbanne,Maccabi Tel Aviv,95,102,20,20,31,33,21,25,23,24,,
07.03. 19:30,Anadolu Efes,Virtus Bologna,89,68,24,24,15,18,22,10,28,16,,
06.03. 21:45,Panathinaikos,Real Madrid,85,70,24,13,16,20,23,20,22,17,,
06.03. 21:30,Baskonia,Zalgiris Kaunas,66,65,18,12,20,18,10,13,18,22,,
06.03. 21:30,Bayern,Crvena zvezda,100,82,20,22,32,15,25,18,23,27,,
06.03. 21:30,Olimpia Milano,Fenerbahce,76,100,19,24,18,29,19,23,20,24,,
05.03. 21:30,Paris,Monaco,79,91,22,24,17,20,14,27,26,20,,
Round 27,,,,,,,,,,,,,,
28.02. 22:00,Lyon-Villeurbanne,Panathinaikos,93,96,16,25,28,29,19,17,30,25,,
28.02. 21:30,Partizan,Baskonia,86,73,25,18,20,7,18,26,23,22,,
28.02. 21:00,Virtus Bologna,Olympiacos,70,92,14,34,15,20,25,14,16,24,,
28.02. 19:30,Anadolu Efes,Alba Berlin,98,73,24,21,24,14,20,20,30,18,,
27.02. 22:00,Maccabi Tel Aviv,Fenerbahce,94,76,25,21,16,25,31,17,22,13,,
27.02. 21:45,Real Madrid,Barcelona,96,91,23,25,17,18,30,24,26,24,,
27.02. 21:30,Olimpia Milano,Monaco,86,80,18,19,31,23,19,19,18,19,,
27.02. 21:30,Paris,Bayern,93,88,23,15,24,23,24,30,22,20,,
