Home,Away,HomeScore,AwayScore,Round,Date
Paris,Olimpia Milano,92,79,30,18.03. 21:30
Monaco,Fenerbahce,-,-,30,20.03. 20:00
Olympiacos,Crvena zvezda,-,-,30,20.03. 20:00
Maccabi Tel Aviv,Virtus Bologna,-,-,30,20.03. 21:15
Baskonia,Bayern,-,-,30,20.03. 21:30
Real Madrid,Lyon-Villeurbanne,-,-,30,20.03. 21:45
Panathinaikos,Alba Berlin,-,-,30,21.03. 21:15
Barcelona,Zalgiris Kaunas,-,-,30,21.03. 21:30
Partizan,Anadolu Efes,-,-,30,21.03. 21:45
Fenerbahce,Paris,-,-,31,25.03. 19:45
Monaco,Zalgiris Kaunas,-,-,31,25.03. 20:00
Barcelona,Bayern,-,-,31,25.03. 21:30
Lyon-Villeurbanne,Olympiacos,-,-,31,25.03. 21:45
Partizan,Alba Berlin,-,-,31,25.03. 21:45
Real Madrid,Olimpia Milano,-,-,31,25.03. 21:45
Anadolu Efes,Baskonia,-,-,31,26.03. 19:30
Crvena zvezda,Virtus Bologna,-,-,31,26.03. 21:00
Maccabi Tel Aviv,Panathinaikos,-,-,31,26.03. 21:05
Lyon-Villeurbanne,Zalgiris Kaunas,-,-,32,27.03. 21:00
Olympiacos,Monaco,-,-,32,27.03. 21:15
Bayern,Partizan,-,-,32,27.03. 21:30
Olimpia Milano,Barcelona,-,-,32,27.03. 21:30
Anadolu Efes,Maccabi Tel Aviv,-,-,32,28.03. 19:30
Fenerbahce,Baskonia,-,-,32,28.03. 19:45
Alba Berlin,Virtus Bologna,-,-,32,28.03. 21:00
Crvena zvezda,Real Madrid,-,-,32,28.03. 21:00
Panathinaikos,Paris,-,-,32,28.03. 21:15
Fenerbahce,Barcelona,-,-,33,02.04. 20:45
Monaco,Panathinaikos,-,-,33,03.04. 20:00
Zalgiris Kaunas,Partizan,-,-,33,03.04. 20:00
Maccabi Tel Aviv,Bayern,-,-,33,03.04. 21:05
Real Madrid,Paris,-,-,33,03.04. 22:00
Alba Berlin,Olympiacos,-,-,33,04.04. 21:00
Crvena zvezda,Anadolu Efes,-,-,33,04.04. 21:00
Baskonia,Lyon-Villeurbanne,-,-,33,04.04. 21:30
Virtus Bologna,Olimpia Milano,-,-,33,04.04. 21:30
Bayern,Fenerbahce,-,-,34,10.04. 21:00
Lyon-Villeurbanne,Monaco,-,-,34,10.04. 21:00
Olympiacos,Maccabi Tel Aviv,-,-,34,10.04. 21:15
Olimpia Milano,Baskonia,-,-,34,10.04. 21:30
Partizan,Real Madrid,-,-,34,10.04. 21:30
Paris,Alba Berlin,-,-,34,10.04. 21:45
Anadolu Efes,Zalgiris Kaunas,-,-,34,11.04. 20:30
Panathinaikos,Crvena zvezda,-,-,34,11.04. 21:15
Barcelona,Virtus Bologna,-,-,34,11.04. 21:30
Barcelona,Partizan,87,80,29,14.03. 21:45
Bayern,Anadolu Efes,92,97,29,14.03. 21:30
Olympiacos,Panathinaikos,76,74,29,14.03. 21:15
Virtus Bologna,Real Madrid,67,80,29,13.03. 21:45
Maccabi Tel Aviv,Monaco,91,88,29,13.03. 21:05
Alba Berlin,Baskonia,97,90,29,13.03. 21:00
Crvena zvezda,Olimpia Milano,80,82,29,13.03. 20:00
Zalgiris Kaunas,Paris,83,81,29,13.03. 20:00
Fenerbahce,Lyon-Villeurbanne,92,82,29,13.03. 19:45
Alba Berlin,Barcelona,85,99,28,07.03. 21:30
Olympiacos,Partizan,82,70,28,07.03. 21:15
Lyon-Villeurbanne,Maccabi Tel Aviv,95,102,28,07.03. 21:00
Anadolu Efes,Virtus Bologna,89,68,28,07.03. 19:30
Panathinaikos,Real Madrid,85,70,28,06.03. 21:45
Baskonia,Zalgiris Kaunas,66,65,28,06.03. 21:30
Bayern,Crvena zvezda,100,82,28,06.03. 21:30
Olimpia Milano,Fenerbahce,76,100,28,06.03. 21:30
Paris,Monaco,79,91,28,05.03. 21:30
Lyon-Villeurbanne,Panathinaikos,93,96,27,28.02. 22:00
Partizan,Baskonia,86,73,27,28.02. 21:30
Virtus Bologna,Olympiacos,70,92,27,28.02. 21:00
Anadolu Efes,Alba Berlin,98,73,27,28.02. 19:30
Maccabi Tel Aviv,Fenerbahce,94,76,27,27.02. 22:00
Real Madrid,Barcelona,96,91,27,27.02. 21:45
Olimpia Milano,Monaco,86,80,27,27.02. 21:30
