Round,HomeTeam,AwayTeam,HomePTS,AwayPTS
29,Virtus Bologna,Real Madrid,67,80
29,Maccabi Tel Aviv,Monaco,91,88
29,Alba Berlin,Baskonia,97,90
29,Crvena zvezda,Olimpia Milano,80,82
29,Zalgiris Kaunas,Paris,83,81
29,Fenerbahce,Lyon-Villeurbanne,92,82
28,Alba Berlin,Barcelona,85,99
28,Olympiakos,Partizan,82,70
28,Lyon-Villeurbanne,Maccabi Tel Aviv,95,102
28,Anadolu Efes,Virtus Bologna,89,68
28,Panathinaikos,Real Madrid,85,70
28,Baskonia,Zalgiris Kaunas,66,65
28,Bayern,Crvena zvezda,100,82
28,Olimpia Milano,Fenerbahce,76,100
28,Paris,Monaco,79,91
17,Paris,Fenerbahce,83,87
27,Lyon-Villeurbanne,Panathinaikos,93,96
27,Partizan,Baskonia,86,73
27,Virtus Bologna,Olympiakos,70,92
27,Anadolu Efes,Alba Berlin,98,73
27,Maccabi Tel Aviv,Fenerbahce,94,76
27,Real Madrid,Barcelona,96,91
27,Olimpia Milano,Monaco,86,80
27,Paris,Bayern,93,88
27,Crvena zvezda,Zalgiris Kaunas,80,86
26,Barcelona,Olympiakos,88,90
26,Baskonia,Maccabi Tel Aviv,89,82
26,Virtus Bologna,Paris,77,83
26,Monaco,Partizan,69,86
26,Bayern,Lyon-Villeurbanne,76,67
26,Panathinaikos,Anadolu Efes,104,89
26,Alba Berlin,Crvena zvezda,71,77
26,Zalgiris Kaunas,Olimpia Milano,87,89
26,Fenerbahce,Real Madrid,78,67
25,Barcelona,Maccabi Tel Aviv,100,71
25,Paris,Olympiakos,73,90
25,Virtus Bologna,Partizan,71,81
25,Monaco,Baskonia,92,85
25,Bayern,Olimpia Milano,87,70
25,Panathinaikos,Fenerbahce,91,90
25,Crvena zvezda,Lyon-Villeurbanne,73,66
25,Zalgiris Kaunas,Alba Berlin,73,53
25,Anadolu Efes,Real Madrid,79,73
24,Partizan,Crvena zvezda,71,73
24,Olympiakos,Anadolu Efes,92,89
24,Monaco,Real Madrid,77,73
24,Fenerbahce,Virtus Bologna,95,81
24,Baskonia,Barcelona,88,86
24,Olimpia Milano,Panathinaikos,87,75
24,Paris,Lyon-Villeurbanne,91,82
24,Maccabi Tel Aviv,Alba Berlin,87,93
24,Zalgiris Kaunas,Bayern,82,97
23,Olympiakos,Fenerbahce,77,87
23,Alba Berlin,Bayern,84,99
23,Lyon-Villeurbanne,Barcelona,100,94
23,Real Madrid,Baskonia,90,89
23,Virtus Bologna,Monaco,80,86
23,Panathinaikos,Zalgiris Kaunas,89,76
23,Maccabi Tel Aviv,Crvena zvezda,85,73
